==========================================================================================================================
1a  EXACT-DISCRETE COEFFICIENT COMPARATOR -- E5 WEIBULL DESIGN
    A = Efron + Breslow | B = Efron + cloglog profile | C = exact + cloglog profile | D = grouped joint MLE
    D_x = NLL(arm x) - NLL(arm D).  A-B is the baseline, B-C is Efron vs exact, C-D is what remains.
    shrink = slope of mean(beta_hat) on the true beta; 1.000 unbiased, < 1 attenuated.  20 reps per cell.
    true beta = [ 0.7 -0.5  0.3  0.4 -0.6]   exact budget = 8,000,000
==========================================================================================================================
    cloglog family: D_A, D_B, D_C vs the cloglog joint MLE.  logit family: D_Bl, D_Cl vs the LOGIT joint MLE --
    the exact method judged in its own metric, so that B vs C is tie handling and not link choice.
==========================================================================================================================
     shape  cens      n   T  modal  dmax       D_A       D_B       D_C      D_Bl      D_Cl  shrEfron  shrExact   shrGrp  |b|Efr  |b|Exa  |b|Grp  exactC
       0.8   40%   2000   2  0.792   866  +0.11435  +0.00760  +0.03956  +0.03868  +0.00000     0.650     1.371    0.854   35.7%   35.8%   15.5%  20/20
       0.8   40%   2000   4  0.629   722  +0.07863  +0.00529  +0.02008  +0.02642  -0.00000     0.782     1.330    0.945   22.9%   32.0%    6.6%  20/20
       0.8   40%   2000   8  0.461   548  +0.03332  +0.00024  +0.01613  +0.01041  -0.00003     0.915     1.277    1.023    8.9%   27.3%    3.3%  20/20
       0.8   40%   2000  20  0.276   337  +0.01292  +0.00008  +0.00375  +0.00345  -0.00001     0.965     1.122    0.997    2.9%   13.0%    1.8%  20/20
       0.8   40%   2000  40  0.175   219  +0.00521  -0.00019  +0.00172  +0.00106  -0.00015     0.985     1.073    0.997    1.8%    8.0%    1.8%  20/20
       0.8   40%  10000   2  0.792  4348  +0.11400  +0.00756        --  +0.03679        --     0.649        --    0.847   35.1%      --   15.1%  0/20
       0.8   40%  10000   4  0.630  3600  +0.07707  +0.00500        --  +0.02678        --     0.787        --    0.956   21.1%      --    4.2%  0/20
       0.8   40%  10000   8  0.462  2725  +0.04223  +0.00162        --  +0.01342        --     0.891        --    0.986   10.8%      --    1.2%  0/20
       0.8   40%  10000  20  0.276  1696  +0.01205  +0.00011        --  +0.00346        --     0.963        --    0.997    4.0%      --    0.6%  0/20
       0.8   40%  10000  40  0.175  1095  +0.00387  -0.00001  +0.00138  +0.00115  -0.00000     0.983     1.068    0.995    1.6%    6.9%    0.9%  18/20
       1.0    0%    500   2  0.709   245  +0.19240  +0.00579  +0.07343  +0.04194  -0.00016     0.639     1.661    1.039   36.0%   66.3%    5.4%  20/20
       1.0    0%    500   4  0.542   188  +0.10132  +0.00529  +0.03703  +0.03300  -0.00009     0.791     1.410    1.003   21.8%   39.9%    7.5%  20/20
       1.0    0%    500   8  0.362   127  +0.04109  +0.00121  +0.01336  +0.01212  -0.00006     0.920     1.242    1.011    7.8%   24.5%    3.5%  20/20
       1.0    0%    500  20  0.188    66  +0.00346  -0.00176  +0.00570  +0.00163  +0.00320     0.969     1.094    0.993    4.0%    8.8%    2.3%  20/20
       1.0    0%    500  40  0.145    35  +0.02859  -0.00437  +0.00364  +0.00245  +0.00466     1.014     1.076    1.025    4.7%    9.7%    4.9%  20/20
       1.0    0%   2000   2  0.711   990  +0.19995  +0.01821  +0.04913  +0.05682  -0.00001     0.629     1.643    1.007   37.2%   65.2%    1.9%  20/20
       1.0    0%   2000   4  0.531   743  +0.09962  +0.00744  +0.02548  +0.03362  +0.00000     0.809     1.386    1.000   19.9%   37.6%    2.4%  20/20
       1.0    0%   2000   8  0.364   508  +0.04170  +0.00162  +0.01157  +0.01396  +0.00000     0.909     1.220    0.991    9.1%   22.1%    1.5%  20/20
       1.0    0%   2000  20  0.180   253  +0.00576  -0.00006  +0.00390  +0.00197  -0.00002     0.995     1.121    1.013    0.9%   12.2%    1.7%  20/20
       1.0    0%   2000  40  0.148   145  +0.00063  -0.00005  +0.00142  +0.00020  -0.00002     1.000     1.061    1.007    1.8%    7.0%    1.9%  20/20
       1.0    0%  10000   2  0.710  4972  +0.19628  +0.02183        --  +0.06301        --     0.629        --    0.998   37.3%      --    0.6%  0/20
       1.0    0%  10000   4  0.532  3732  +0.09921  +0.00685        --  +0.03327        --     0.803        --    0.997   19.8%      --    0.5%  0/20
       1.0    0%  10000   8  0.357  2500  +0.04210  +0.00150        --  +0.01322        --     0.923        --    1.002    7.7%      --    0.6%  0/20
       1.0    0%  10000  20  0.182  1276  +0.00855  +0.00003        --  +0.00265        --     0.984        --    1.002    1.6%      --    0.4%  0/20
       1.0    0%  10000  40  0.150   705  +0.00136  -0.00000  +0.00094  +0.00072  -0.00000     0.994     1.056    0.998    0.8%    5.4%    0.5%  20/20
       1.0   20%    500   2  0.765   232  +0.14085  -0.00531  +0.08991  +0.02978  -0.00019     0.649     1.529    0.942   33.6%   57.4%    5.7%  20/20
       1.0   20%    500   4  0.576   177  +0.09114  -0.00319  +0.04636  +0.01421  -0.00026     0.825     1.424    1.022   17.4%   42.0%    3.5%  20/20
       1.0   20%    500   8  0.380   117  +0.03656  -0.00015  +0.01423  +0.00944  -0.00008     0.942     1.240    1.016    5.0%   25.2%    2.9%  20/20
       1.0   20%    500  20  0.201    64  +0.00778  -0.00033  +0.00667  +0.00016  -0.00067     1.020     1.156    1.046    6.5%   15.5%    7.0%  20/20
       1.0   20%    500  40  0.117    35  +0.01742  -0.00175  +0.00352  -0.00111  +0.00149     1.007     1.075    1.019    3.6%    6.2%    3.4%  20/20
       1.0   20%   2000   2  0.763   930  +0.13874  +0.00908  +0.05444  +0.04484  -0.00000     0.627     1.438    0.850   38.0%   42.6%   15.9%  20/20
       1.0   20%   2000   4  0.577   717  +0.08279  +0.00430  +0.02927  +0.02725  -0.00001     0.806     1.373    0.987   19.3%   38.0%    2.8%  20/20
       1.0   20%   2000   8  0.391   491  +0.03272  +0.00069  +0.01389  +0.01107  -0.00001     0.915     1.233    0.990    9.1%   22.7%    2.1%  20/20
       1.0   20%   2000  20  0.198   256  +0.00661  +0.00003  +0.00291  +0.00277  -0.00000     0.982     1.110    1.003    1.8%   11.7%    1.6%  20/20
       1.0   20%   2000  40  0.111   140  +0.00041  +0.00001  +0.00070  +0.00099  +0.00000     0.987     1.051    0.994    1.6%    4.8%    1.4%  20/20
       1.0   20%  10000   2  0.764  4687  +0.13751  +0.00920        --  +0.04395        --     0.619        --    0.852   38.3%      --   15.0%  0/20
       1.0   20%  10000   4  0.575  3588  +0.08205  +0.00455        --  +0.02756        --     0.801        --    0.971   20.2%      --    3.2%  0/20
       1.0   20%  10000   8  0.389  2452  +0.03497  +0.00150        --  +0.01302        --     0.919        --    0.996    8.0%      --    1.1%  0/20
       1.0   20%  10000  20  0.199  1275  +0.00737  +0.00009        --  +0.00298        --     0.984        --    1.002    2.0%      --    1.0%  0/20
